1480343804 9307181056 0 {'kernel': 41420000000L, 'idle': 179401260000000L, 'user': 169160000000L, 'iowait': 80950000000L}
1480343806 9307181056 0 {'kernel': 41420000000L, 'idle': 179403260000000L, 'user': 169160000000L, 'iowait': 80950000000L}
1480343808 9307308032 0 {'kernel': 41420000000L, 'idle': 179405260000000L, 'user': 169160000000L, 'iowait': 80950000000L}
1480343810 9307054080 0 {'kernel': 41420000000L, 'idle': 179407260000000L, 'user': 169160000000L, 'iowait': 80950000000L}
1480343812 9307054080 0 {'kernel': 41420000000L, 'idle': 179409260000000L, 'user': 169180000000L, 'iowait': 80950000000L}
1480343814 9307095040 0 {'kernel': 41420000000L, 'idle': 179411260000000L, 'user': 169180000000L, 'iowait': 80950000000L}
1480343816 9306689536 0 {'kernel': 41430000000L, 'idle': 179413260000000L, 'user': 169180000000L, 'iowait': 80950000000L}
1480343818 9306943488 0 {'kernel': 41430000000L, 'idle': 179415260000000L, 'user': 169180000000L, 'iowait': 80950000000L}
1480343820 9306943488 0 {'kernel': 41430000000L, 'idle': 179417260000000L, 'user': 169180000000L, 'iowait': 80950000000L}
1480343822 9306943488 0 {'kernel': 41430000000L, 'idle': 179419260000000L, 'user': 169180000000L, 'iowait': 80950000000L}
1480343824 9306890240 0 {'kernel': 41430000000L, 'idle': 179421260000000L, 'user': 169180000000L, 'iowait': 80950000000L}
1480343826 9306943488 0 {'kernel': 41430000000L, 'idle': 179423260000000L, 'user': 169180000000L, 'iowait': 80950000000L}
1480343828 9307070464 0 {'kernel': 41430000000L, 'idle': 179425260000000L, 'user': 169180000000L, 'iowait': 80950000000L}
